"sale_id","sale_date","product_id","customer_id","total","rating"
2609,"2023-09-01",24,1,"500",5
2716,"2023-09-04",24,1,"500",4
3025,"2023-09-14",24,1,"500",5
3581,"2023-10-02",4,1,"600",5
4504,"2023-11-04",5,1,"450",4
5079,"2023-11-23",8,1,"750",5
5452,"2023-12-05",9,1,"700",4
6630,"2024-01-15",4,1,"600",5
7322,"2024-02-10",1,1,"350",4
7357,"2024-02-11",1,1,"350",4
9069,"2024-04-24",4,1,"600",4
10138,"2024-09-03",2,1,"900",5
10349,"2024-09-27",3,1,"250",5
375,"2023-02-06",11,1,"550",4
484,"2023-02-16",3,1,"250",4
734,"2023-03-08",26,1,"900",5
1787,"2023-06-11",13,1,"450",4
1896,"2023-06-24",21,1,"650",4
2207,"2023-07-23",22,1,"400",5
2352,"2023-08-07",24,1,"500",4
2430,"2023-08-14",24,1,"500",5
3038,"2023-09-15",22,1,"400",4
3052,"2023-09-15",24,1,"500",4
3082,"2023-09-16",23,1,"250",4
3444,"2023-09-28",21,1,"650",4
5913,"2023-12-22",14,1,"320",4
6428,"2024-01-08",14,1,"320",5
135,"2023-01-16",7,1,"1500",5
158,"2023-01-18",3,1,"250",4
193,"2023-01-21",24,1,"500",4
1217,"2023-04-23",1,1,"350",4
1302,"2023-04-30",13,1,"450",4
1490,"2023-05-16",2,1,"900",5
1813,"2023-06-14",19,1,"300",4
1825,"2023-06-15",17,1,"600",5
1830,"2023-06-16",1,1,"350",4
2155,"2023-07-20",2,1,"900",4
4975,"2023-11-19",8,1,"750",5
2107,"2023-07-16",2,1,"900",5
766,"2023-03-11",11,1,"550",4
1150,"2023-04-15",23,1,"250",4
1661,"2023-06-01",14,1,"320",4
6687,"2024-01-17",4,1,"600",5
6921,"2024-01-26",2,1,"900",5
7933,"2024-03-01",2,1,"900",5
9853,"2024-07-29",1,1,"350",5
4888,"2023-11-17",1,1,"350",5
9432,"2024-06-01",1,1,"350",5
404,"2023-02-09",13,2,"450",5
546,"2023-02-22",15,2,"350",4
748,"2023-03-10",3,2,"250",4
1475,"2023-05-14",18,2,"450",4
2323,"2023-08-03",24,2,"500",4
2569,"2023-08-28",24,2,"500",4
4698,"2023-11-10",10,2,"1800",4
5657,"2023-12-13",1,2,"350",4
6316,"2024-01-04",14,2,"320",5
6829,"2024-01-23",1,2,"350",4
7168,"2024-02-04",4,2,"600",4
9499,"2024-06-11",4,2,"600",5
9760,"2024-07-16",1,2,"350",4
9815,"2024-07-23",3,2,"250",5
789,"2023-03-13",13,2,"450",5
1874,"2023-06-21",25,2,"600",5
3168,"2023-09-19",22,2,"400",5
3760,"2023-10-07",10,2,"1800",4
6385,"2024-01-06",14,2,"320",5
7926,"2024-03-01",2,2,"900",5
8708,"2024-03-26",2,2,"900",5
8905,"2024-04-05",2,2,"900",5
9673,"2024-07-03",4,2,"600",5
918,"2023-03-26",23,2,"250",4
1209,"2023-04-22",14,2,"320",5
2717,"2023-09-04",24,2,"500",5
6632,"2024-01-15",4,2,"600",5
7653,"2024-02-21",1,2,"350",4
10057,"2024-08-22",2,2,"900",4
7120,"2024-02-02",4,2,"600",5
7091,"2024-02-01",3,2,"250",5
8361,"2024-03-14",3,2,"250",5
929,"2023-03-27",28,3,"300",4
2490,"2023-08-20",24,3,"500",5
2619,"2023-09-01",24,3,"500",5
4498,"2023-11-04",2,3,"900",4
5014,"2023-11-21",3,3,"250",5
5982,"2023-12-24",14,3,"320",4
6638,"2024-01-16",1,3,"350",5
10211,"2024-09-12",2,3,"900",4
55,"2023-01-06",23,3,"250",5
413,"2023-02-09",27,3,"200",4
636,"2023-03-01",20,3,"800",4
1583,"2023-05-24",15,3,"350",5
1940,"2023-06-30",20,3,"800",5
2330,"2023-08-04",24,3,"500",5
5484,"2023-12-07",4,3,"600",5
6689,"2024-01-18",1,3,"350",5
655,"2023-03-02",22,3,"400",4
2250,"2023-07-27",14,3,"320",4
2372,"2023-08-09",24,3,"500",5
2817,"2023-09-07",24,3,"500",4
2880,"2023-09-09",24,3,"500",4
3137,"2023-09-18",23,3,"250",4
4516,"2023-11-04",10,3,"1800",4
5579,"2023-12-10",2,3,"900",5
9914,"2024-08-05",2,3,"900",4
10056,"2024-08-22",1,3,"350",5
3322,"2023-09-23",24,3,"500",4
6574,"2024-01-13",3,3,"250",5
6793,"2024-01-21",2,3,"900",5
8528,"2024-03-19",4,3,"600",5
668,"2023-03-03",20,3,"800",4
3302,"2023-09-23",22,3,"400",4
8786,"2024-03-29",1,3,"350",5
1928,"2023-06-29",2,3,"900",4
2900,"2023-09-10",22,3,"400",5
821,"2023-03-16",4,4,"600",5
1466,"2023-05-13",25,4,"600",4
4385,"2023-10-31",9,4,"700",5
6211,"2024-01-01",14,4,"320",5
6891,"2024-01-25",2,4,"900",4
8056,"2024-03-04",1,4,"350",5
9208,"2024-05-08",2,4,"900",5
10118,"2024-08-30",3,4,"250",5
73,"2023-01-09",17,4,"600",4
2426,"2023-08-14",24,4,"500",5
3949,"2023-10-14",8,4,"750",4
4638,"2023-11-08",9,4,"700",4
5509,"2023-12-08",1,4,"350",5
5705,"2023-12-15",2,4,"900",4
10132,"2024-09-01",4,4,"600",4
151,"2023-01-17",17,4,"600",4
2238,"2023-07-26",14,4,"320",5
2298,"2023-08-01",8,4,"750",4
3522,"2023-09-30",23,4,"250",5
3923,"2023-10-14",1,4,"350",4
8268,"2024-03-11",2,4,"900",5
733,"2023-03-08",25,4,"600",4
7283,"2024-02-08",3,4,"250",4
9166,"2024-05-04",3,4,"250",4
7953,"2024-03-01",4,4,"600",4
7118,"2024-02-02",4,4,"600",5
9419,"2024-05-30",3,4,"250",5
778,"2023-03-12",11,5,"550",4
1780,"2023-06-11",1,5,"350",4
2014,"2023-07-06",19,5,"300",4
2411,"2023-08-12",24,5,"500",4
3412,"2023-09-27",21,5,"650",5
3691,"2023-10-05",10,5,"1800",4
4861,"2023-11-15",9,5,"700",4
5023,"2023-11-21",7,5,"1500",5
5709,"2023-12-15",5,5,"450",4
6897,"2024-01-25",3,5,"250",4
7723,"2024-02-23",3,5,"250",4
7996,"2024-03-02",2,5,"900",5
8143,"2024-03-06",3,5,"250",4
8980,"2024-04-15",2,5,"900",4
9299,"2024-05-16",4,5,"600",4
885,"2023-03-22",25,5,"600",4
1233,"2023-04-24",3,5,"250",5
3306,"2023-09-23",22,5,"400",4
3865,"2023-10-12",1,5,"350",5
4382,"2023-10-31",6,5,"1200",5
4816,"2023-11-14",7,5,"1500",4
5194,"2023-11-27",10,5,"1800",5
6406,"2024-01-07",14,5,"320",4
6810,"2024-01-22",1,5,"350",4
9433,"2024-06-01",2,5,"900",4
10199,"2024-09-10",1,5,"350",5
2820,"2023-09-08",21,5,"650",4
5919,"2023-12-22",14,5,"320",5
8043,"2024-03-03",3,5,"250",4
8503,"2024-03-19",1,5,"350",5
2462,"2023-08-17",24,5,"500",4
7675,"2024-02-21",4,5,"600",4
8728,"2024-03-27",2,5,"900",5
2793,"2023-09-07",22,5,"400",5
4135,"2023-10-22",3,5,"250",4
4694,"2023-11-10",9,5,"700",5
1541,"2023-05-20",27,5,"200",5
3209,"2023-09-20",22,5,"400",5
6974,"2024-01-28",2,5,"900",5
7044,"2024-01-30",4,5,"600",4
28,"2023-01-03",25,6,"600",4
251,"2023-01-26",17,6,"600",5
601,"2023-02-26",20,6,"800",4
1198,"2023-04-21",15,6,"350",4
1819,"2023-06-15",3,6,"250",5
1999,"2023-07-05",8,6,"750",5
2648,"2023-09-02",24,6,"500",4
2834,"2023-09-08",22,6,"400",4
5923,"2023-12-22",14,6,"320",4
6512,"2024-01-11",3,6,"250",5
6564,"2024-01-13",2,6,"900",4
7175,"2024-02-05",1,6,"350",5
8327,"2024-03-13",2,6,"900",5
8331,"2024-03-13",3,6,"250",4
9845,"2024-07-27",4,6,"600",5
144,"2023-01-16",24,6,"500",5
1167,"2023-04-18",1,6,"350",5
3088,"2023-09-16",24,6,"500",4
3429,"2023-09-27",23,6,"250",4
4271,"2023-10-27",4,6,"600",4
7583,"2024-02-18",2,6,"900",4
7819,"2024-02-26",4,6,"600",5
8265,"2024-03-11",1,6,"350",4
1441,"2023-05-11",10,6,"1800",4
2351,"2023-08-07",24,6,"500",5
2804,"2023-09-07",24,6,"500",4
3793,"2023-10-09",6,6,"1200",4
10237,"2024-09-14",1,6,"350",4
1871,"2023-06-21",22,6,"400",4
3519,"2023-09-30",23,6,"250",4
900,"2023-03-24",19,6,"300",4
3878,"2023-10-12",5,6,"450",4
5791,"2023-12-18",4,6,"600",5
7290,"2024-02-08",4,6,"600",4
8401,"2024-03-15",4,6,"600",4
9280,"2024-05-15",2,6,"900",4
9477,"2024-06-08",3,6,"250",5
475,"2023-02-15",23,7,"250",4
1644,"2023-05-30",24,7,"500",5
1991,"2023-07-04",14,7,"320",4
3114,"2023-09-17",24,7,"500",5
3530,"2023-09-30",24,7,"500",5
3920,"2023-10-13",11,7,"550",5
4419,"2023-11-01",10,7,"1800",5
4553,"2023-11-05",8,7,"750",4
4908,"2023-11-17",11,7,"550",5
5186,"2023-11-27",9,7,"700",5
5481,"2023-12-07",4,7,"600",5
5653,"2023-12-12",11,7,"550",5
10284,"2024-09-20",2,7,"900",5
525,"2023-02-20",22,7,"400",4
1444,"2023-05-11",27,7,"200",4
4227,"2023-10-25",4,7,"600",5
4579,"2023-11-06",7,7,"1500",4
6149,"2023-12-29",14,7,"320",4
6913,"2024-01-26",1,7,"350",4
8711,"2024-03-26",3,7,"250",5
1072,"2023-04-09",2,7,"900",4
2136,"2023-07-18",7,7,"1500",5
2649,"2023-09-02",24,7,"500",4
4037,"2023-10-18",5,7,"450",5
4724,"2023-11-11",9,7,"700",4
9638,"2024-06-29",4,7,"600",5
9698,"2024-07-07",3,7,"250",4
1619,"2023-05-28",11,7,"550",5
2962,"2023-09-12",21,7,"650",5
2991,"2023-09-13",22,7,"400",4
4670,"2023-11-09",9,7,"700",5
468,"2023-02-15",8,7,"750",4
1828,"2023-06-15",27,7,"200",4
1891,"2023-06-23",22,7,"400",4
3012,"2023-09-14",22,7,"400",4
10275,"2024-09-19",2,7,"900",4
1908,"2023-06-26",25,7,"600",4
3659,"2023-10-04",9,7,"700",5
3845,"2023-10-11",4,7,"600",4
639,"2023-03-01",26,8,"900",5
1206,"2023-04-22",6,8,"1200",4
1493,"2023-05-16",15,8,"350",4
4868,"2023-11-16",3,8,"250",4
5978,"2023-12-24",14,8,"320",4
8289,"2024-03-12",1,8,"350",4
8309,"2024-03-12",3,8,"250",5
8959,"2024-04-13",1,8,"350",4
426,"2023-02-11",8,8,"750",5
699,"2023-03-05",17,8,"600",4
1704,"2023-06-04",13,8,"450",4
3299,"2023-09-23",21,8,"650",4
4242,"2023-10-26",2,8,"900",5
4528,"2023-11-05",2,8,"900",4
5216,"2023-11-28",10,8,"1800",4
6623,"2024-01-15",3,8,"250",4
7185,"2024-02-05",2,8,"900",5
1092,"2023-04-10",2,8,"900",5
4723,"2023-11-11",9,8,"700",5
4881,"2023-11-16",7,8,"1500",4
4919,"2023-11-18",3,8,"250",5
5659,"2023-12-13",2,8,"900",4
7040,"2024-01-30",3,8,"250",4
8122,"2024-03-05",4,8,"600",4
8433,"2024-03-16",4,8,"600",5
1653,"2023-06-01",1,8,"350",4
2660,"2023-09-02",24,8,"500",4
3734,"2023-10-07",3,8,"250",4
6525,"2024-01-12",2,8,"900",4
8529,"2024-03-19",4,8,"600",5
37,"2023-01-04",25,8,"600",4
7326,"2024-02-10",1,8,"350",5
71,"2023-01-09",2,9,"900",4
2064,"2023-07-11",17,9,"600",4
2283,"2023-07-30",21,9,"650",4
4089,"2023-10-20",4,9,"600",5
5761,"2023-12-17",4,9,"600",4
5877,"2023-12-20",14,9,"320",4
5914,"2023-12-22",14,9,"320",4
6391,"2024-01-07",14,9,"320",5
6780,"2024-01-21",1,9,"350",5
7738,"2024-02-24",1,9,"350",5
9574,"2024-06-22",1,9,"350",4
10233,"2024-09-13",4,9,"600",4
50,"2023-01-06",12,9,"300",5
307,"2023-01-31",1,9,"350",4
1152,"2023-04-15",28,9,"300",5
1611,"2023-05-27",11,9,"550",4
1696,"2023-06-04",5,9,"450",4
2058,"2023-07-11",1,9,"350",4
3304,"2023-09-23",22,9,"400",5
5096,"2023-11-24",4,9,"600",5
5160,"2023-11-26",11,9,"550",4
5707,"2023-12-15",4,9,"600",4
5920,"2023-12-22",14,9,"320",5
6164,"2023-12-30",14,9,"320",4
8530,"2024-03-19",4,9,"600",4
9674,"2024-07-03",4,9,"600",5
9775,"2024-07-18",3,9,"250",5
756,"2023-03-10",22,9,"400",5
1373,"2023-05-05",26,9,"900",5
